"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Apr 01 13:33:47 GMT+07:00 2025","Tue Apr 01 13:33:53 GMT+07:00 2025","6104","firefox","test_01_08.spec.ts","Kiểm tra hệ thống giấy phép game","","","TC008 - Kiểm tra trang Trò chơi điện tử G2,G3,G4",""
"failed","Tue Apr 01 13:33:29 GMT+07:00 2025","Tue Apr 01 13:33:35 GMT+07:00 2025","6418","chromium","test_01_08.spec.ts","Kiểm tra hệ thống giấy phép game","","","TC005 - Kiểm tra trang Thông tin điện tử tổng hợp",""
"passed","Tue Apr 01 13:33:39 GMT+07:00 2025","Tue Apr 01 13:33:40 GMT+07:00 2025","812","chromium","test_13_16.spec.ts","","","","TC015 - Kiểm tra hiển thị thông tin chi tiết giấy phép",""
"failed","Tue Apr 01 13:34:05 GMT+07:00 2025","Tue Apr 01 13:34:11 GMT+07:00 2025","5860","webkit","test_01_08.spec.ts","Kiểm tra hệ thống giấy phép game","","","TC007 - Kiểm tra trang Trò chơi điện tử G1",""
"passed","Tue Apr 01 13:33:43 GMT+07:00 2025","Tue Apr 01 13:33:45 GMT+07:00 2025","2190","firefox","test_01_08.spec.ts","Kiểm tra hệ thống giấy phép game","","","TC001 - Kiểm tra truy cập URL",""
"passed","Tue Apr 01 13:34:16 GMT+07:00 2025","Tue Apr 01 13:34:17 GMT+07:00 2025","1372","webkit","test_portal.spec.ts","","","","TC001 - Kiểm tra hiển thị trang chủ và các nhóm giấy phép",""
"failed","Tue Apr 01 13:33:36 GMT+07:00 2025","Tue Apr 01 13:33:42 GMT+07:00 2025","6284","chromium","test_09_12.spec.ts","","","","TC012 - Kiểm tra tìm kiếm giấy phép trên TRANG TRÒ CHƠI ĐIỆN TỬ G2,3,4",""
"failed","Tue Apr 01 13:33:53 GMT+07:00 2025","Tue Apr 01 13:34:01 GMT+07:00 2025","7286","firefox","test_09_12.spec.ts","","","","TC010 - Kiểm tra tìm kiếm giấy phép trên TRANG MẠNG XÃ HỘI",""
"passed","Tue Apr 01 13:33:58 GMT+07:00 2025","Tue Apr 01 13:33:59 GMT+07:00 2025","665","firefox","test_13_16.spec.ts","","","","TC015 - Kiểm tra hiển thị thông tin chi tiết giấy phép",""
"passed","Tue Apr 01 13:34:12 GMT+07:00 2025","Tue Apr 01 13:34:14 GMT+07:00 2025","1085","webkit","test_13_16.spec.ts","","","","TC013 - Kiểm tra hiển thị thông tin chi tiết giấy phép",""
"passed","Tue Apr 01 13:34:03 GMT+07:00 2025","Tue Apr 01 13:34:05 GMT+07:00 2025","1588","webkit","test_01_08.spec.ts","Kiểm tra hệ thống giấy phép game","","","TC003 - Kiểm tra 4 nhóm giấy phép",""
"failed","Tue Apr 01 13:33:29 GMT+07:00 2025","Tue Apr 01 13:33:35 GMT+07:00 2025","6361","chromium","test_01_08.spec.ts","Kiểm tra hệ thống giấy phép game","","","TC008 - Kiểm tra trang Trò chơi điện tử G2,G3,G4",""
"passed","Tue Apr 01 13:33:57 GMT+07:00 2025","Tue Apr 01 13:33:58 GMT+07:00 2025","1134","firefox","test_13_16.spec.ts","","","","TC014 - Kiểm tra hiển thị thông tin chi tiết giấy phép",""
"passed","Tue Apr 01 13:34:14 GMT+07:00 2025","Tue Apr 01 13:34:14 GMT+07:00 2025","693","webkit","test_13_16.spec.ts","","","","TC014 - Kiểm tra hiển thị thông tin chi tiết giấy phép",""
"failed","Tue Apr 01 13:34:12 GMT+07:00 2025","Tue Apr 01 13:34:18 GMT+07:00 2025","5851","webkit","test_09_12.spec.ts","","","","TC012 - Kiểm tra tìm kiếm giấy phép trên TRANG TRÒ CHƠI ĐIỆN TỬ G2,3,4",""
"failed","Tue Apr 01 13:34:06 GMT+07:00 2025","Tue Apr 01 13:34:12 GMT+07:00 2025","6058","webkit","test_01_08.spec.ts","Kiểm tra hệ thống giấy phép game","","","TC008 - Kiểm tra trang Trò chơi điện tử G2,G3,G4",""
"passed","Tue Apr 01 13:33:25 GMT+07:00 2025","Tue Apr 01 13:33:27 GMT+07:00 2025","2292","chromium","test_01_08.spec.ts","Kiểm tra hệ thống giấy phép game","","","TC002 - Kiểm tra title ABEI",""
"failed","Tue Apr 01 13:33:47 GMT+07:00 2025","Tue Apr 01 13:33:53 GMT+07:00 2025","5991","firefox","test_01_08.spec.ts","Kiểm tra hệ thống giấy phép game","","","TC006 - Kiểm tra trang Mạng Xã Hội",""
"passed","Tue Apr 01 13:34:04 GMT+07:00 2025","Tue Apr 01 13:34:06 GMT+07:00 2025","1711","webkit","test_01_08.spec.ts","Kiểm tra hệ thống giấy phép game","","","TC004 - Kiểm tra số lượng giấy phép trong mỗi nhóm",""
"passed","Tue Apr 01 13:33:41 GMT+07:00 2025","Tue Apr 01 13:33:42 GMT+07:00 2025","1264","chromium","test_portal.spec.ts","","","","TC001 - Kiểm tra hiển thị trang chủ và các nhóm giấy phép",""
"passed","Tue Apr 01 13:34:15 GMT+07:00 2025","Tue Apr 01 13:34:16 GMT+07:00 2025","824","webkit","test_13_16.spec.ts","","","","TC016 - Kiểm tra hiển thị thông tin chi tiết giấy phép",""
"passed","Tue Apr 01 13:34:11 GMT+07:00 2025","Tue Apr 01 13:34:12 GMT+07:00 2025","1482","webkit","test_09_12.spec.ts","","","","TC009 - Kiểm tra tìm kiếm giấy phép trên TRANG ĐIỆN TỬ TỔNG HỢP",""
"failed","Tue Apr 01 13:33:54 GMT+07:00 2025","Tue Apr 01 13:34:02 GMT+07:00 2025","7533","firefox","test_09_12.spec.ts","","","","TC012 - Kiểm tra tìm kiếm giấy phép trên TRANG TRÒ CHƠI ĐIỆN TỬ G2,3,4",""
"failed","Tue Apr 01 13:34:11 GMT+07:00 2025","Tue Apr 01 13:34:17 GMT+07:00 2025","6001","webkit","test_09_12.spec.ts","","","","TC011 - Kiểm tra tìm kiếm giấy phép trên TRANG TRÒ CHƠI ĐIỆN TỬ G1",""
"failed","Tue Apr 01 13:33:53 GMT+07:00 2025","Tue Apr 01 13:34:01 GMT+07:00 2025","7421","firefox","test_09_12.spec.ts","","","","TC011 - Kiểm tra tìm kiếm giấy phép trên TRANG TRÒ CHƠI ĐIỆN TỬ G1",""
"passed","Tue Apr 01 13:34:02 GMT+07:00 2025","Tue Apr 01 13:34:04 GMT+07:00 2025","1625","webkit","test_01_08.spec.ts","Kiểm tra hệ thống giấy phép game","","","TC002 - Kiểm tra title ABEI",""
"failed","Tue Apr 01 13:33:47 GMT+07:00 2025","Tue Apr 01 13:33:53 GMT+07:00 2025","5926","firefox","test_01_08.spec.ts","Kiểm tra hệ thống giấy phép game","","","TC007 - Kiểm tra trang Trò chơi điện tử G1",""
"passed","Tue Apr 01 13:33:53 GMT+07:00 2025","Tue Apr 01 13:33:56 GMT+07:00 2025","2480","firefox","test_09_12.spec.ts","","","","TC009 - Kiểm tra tìm kiếm giấy phép trên TRANG ĐIỆN TỬ TỔNG HỢP",""
"passed","Tue Apr 01 13:33:59 GMT+07:00 2025","Tue Apr 01 13:34:00 GMT+07:00 2025","1225","firefox","test_13_16.spec.ts","","","","TC016 - Kiểm tra hiển thị thông tin chi tiết giấy phép",""
"failed","Tue Apr 01 13:33:36 GMT+07:00 2025","Tue Apr 01 13:33:42 GMT+07:00 2025","6718","chromium","test_09_12.spec.ts","","","","TC011 - Kiểm tra tìm kiếm giấy phép trên TRANG TRÒ CHƠI ĐIỆN TỬ G1",""
"failed","Tue Apr 01 13:34:11 GMT+07:00 2025","Tue Apr 01 13:34:17 GMT+07:00 2025","6063","webkit","test_09_12.spec.ts","","","","TC010 - Kiểm tra tìm kiếm giấy phép trên TRANG MẠNG XÃ HỘI",""
"passed","Tue Apr 01 13:34:02 GMT+07:00 2025","Tue Apr 01 13:34:04 GMT+07:00 2025","1756","webkit","test_01_08.spec.ts","Kiểm tra hệ thống giấy phép game","","","TC001 - Kiểm tra truy cập URL",""
"failed","Tue Apr 01 13:34:05 GMT+07:00 2025","Tue Apr 01 13:34:10 GMT+07:00 2025","5782","webkit","test_01_08.spec.ts","Kiểm tra hệ thống giấy phép game","","","TC006 - Kiểm tra trang Mạng Xã Hội",""
"passed","Tue Apr 01 13:33:35 GMT+07:00 2025","Tue Apr 01 13:33:37 GMT+07:00 2025","1277","chromium","test_09_12.spec.ts","","","","TC009 - Kiểm tra tìm kiếm giấy phép trên TRANG ĐIỆN TỬ TỔNG HỢP",""
"passed","Tue Apr 01 13:33:43 GMT+07:00 2025","Tue Apr 01 13:33:46 GMT+07:00 2025","3018","firefox","test_01_08.spec.ts","Kiểm tra hệ thống giấy phép game","","","TC002 - Kiểm tra title ABEI",""
"passed","Tue Apr 01 13:33:44 GMT+07:00 2025","Tue Apr 01 13:33:46 GMT+07:00 2025","2191","firefox","test_01_08.spec.ts","Kiểm tra hệ thống giấy phép game","","","TC004 - Kiểm tra số lượng giấy phép trong mỗi nhóm",""
"failed","Tue Apr 01 13:33:29 GMT+07:00 2025","Tue Apr 01 13:33:35 GMT+07:00 2025","6449","chromium","test_01_08.spec.ts","Kiểm tra hệ thống giấy phép game","","","TC007 - Kiểm tra trang Trò chơi điện tử G1",""
